Address;Changed Use;City;Completed Date;Completed Month;Completed Year;Description;Existing Use;Filed Date;Issued Date;Issued Month;Issued Year;Neighborhoods Boundaries;Permit Expiration Date;Permit Number;Permit Type;Proposed Construction Type Description;Proposed Use;Record Id;State;Zipcode;Estimated Cost;Estimated Revised Diff;Filed Issued Days;Issued Completed Days;Issued Completed Years;Issued Expiration Days;Latitude;Longitude;Number of Records;Revised Cost
233 Maple St,San Francisco,CA,94118;True;San Francisco;29.07.2016;Jul;2016;adaptive re-use of single family residence to educational use k-8th grade. pull seismic upgrade interior remodel & horizontal rear addition.;1 family dwelling;24.06.2014;9.02.2015;Feb;2015;Presidio Heights;8.01.2021;201406249281;additions alterations or repairs;wood_frame_5;school;134643386301;CA;94118;3000000;600000;230;536;1;2160;37,7884607;-122,455746730;1;3600000
760 Market St,San Francisco,CA,94108;True;San Francisco;13.09.1999;Sep;1999;alterations to shell & core, andicap accessibility upgrade;office;5.06.1997;2.10.1997;Oct;1997;Financial District/South Beach;2.04.2000;9710217;additions alterations or repairs;constr_type_1;retail sales;62349969778;CA;94108;3000000;50000;119;711;2;913;37,7865159;-122,4052112;1;3050000
764 Market St,San Francisco,CA,94108;True;San Francisco;13.09.1999;Sep;1999;alterations to shell & core, andicap accessibility upgrade;office;5.06.1997;2.10.1997;Oct;1997;Financial District/South Beach;2.04.2000;9710217;additions alterations or repairs;constr_type_1;retail sales;623500300849;CA;94108;3000000;50000;119;711;2;913;37,786330756;-122,404942430;1;3050000
350 Mission St,San Francisco,CA,94105;True;San Francisco;19.09.2017;Sep;2017;7th floor: full  floor t.i.   non-bearing walls, card readers, elevator lobby.  sprinklers and fire alarm on seperate permit.  n/a for the maher.;vacant lot;31.03.2015;24.04.2015;Apr;2015;Financial District/South Beach;3.04.2019;201503312421;otc alterations permit;constr_type_1;office;1376334164586;CA;94105;2860746;0;24;879;2;1440;37,79089875;-122,396690099;1;2860746
350 Mission St,San Francisco,CA,94105;True;San Francisco;19.09.2017;Sep;2017;9th flr: full floor ti with non baring partitions, card readers in elevator lobbies. fire alarm & sprinklers under seperate permit;vacant lot;21.04.2015;21.05.2015;May;2015;Financial District/South Beach;30.04.2019;201504214206;otc alterations permit;constr_type_1;office;1378814164586;CA;94105;2860746;-1410746;30;852;2;1440;37,79089875;-122,396690099;1;1450000
350 Mission St,San Francisco,CA,94105;True;San Francisco;7.07.2017;Jul;2017;10th flr: full floor ti with non baring partitions, card readers in elevator lobbies. fire alarm & sprinklers under seperate permit;vacant lot;21.04.2015;8.05.2015;May;2015;Financial District/South Beach;17.04.2019;201504214208;otc alterations permit;constr_type_1;office;1378815164586;CA;94105;2860746;-1410746;17;791;2;1440;37,79089875;-122,396690099;1;1450000
510 Townsend St,San Francisco,CA,94103;True;San Francisco;10.09.2019;Sep;2019;interior tenant improvement of fully sprinklered building. new partitions, finishes, lighting, equipment on 2nd floor.  n/a maher;vacant lot;23.05.2017;5.07.2017;Jul;2017;South of Market;14.06.2021;201705237372;otc alterations permit;constr_type_1;office;1464177369644;CA;94103;2850000;0;43;797;2;1440;37,7735277;-122,400425442;1;2850000
38 Tehama St,San Francisco,CA,94105;True;San Francisco;30.09.2003;Sep;2003;one-stop,c.h., seismic upgrade & addition of two floors, construct mezzanine,add stairs,open access;wholesale sales;30.08.2000;4.01.2001;Jan;2001;Financial District/South Beach;4.10.2004;200008309322;additions alterations or repairs;constr_type_3;office;828800165646;CA;94105;2750000;0;127;999;2;1369;37,787566487;-122,396292365;1;2750000
44 Tehama St,San Francisco,CA,94105;True;San Francisco;30.09.2003;Sep;2003;one-stop,c.h., seismic upgrade & addition of two floors, construct mezzanine,add stairs,open access;wholesale sales;30.08.2000;4.01.2001;Jan;2001;Financial District/South Beach;4.10.2004;200008309322;additions alterations or repairs;constr_type_3;office;828801388114;CA;94105;2750000;0;127;999;2;1369;37,787483735;-122,396397426;1;2750000
543 Howard St,San Francisco,CA,94105;True;San Francisco;30.09.2003;Sep;2003;one-stop,c.h., seismic upgrade & addition of two floors, construct mezzanine,add stairs,open access;wholesale sales;30.08.2000;4.01.2001;Jan;2001;Financial District/South Beach;4.10.2004;200008309322;additions alterations or repairs;constr_type_3;office;948781388119;CA;94105;2750000;0;127;999;2;1369;37,78759225;-122,396668280;1;2750000
701 Minnesota St,San Francisco,CA,94107;True;San Francisco;5.11.1993;Nov;1993;56 parking spaces within a type 1 garage,courtyard/deck area;warehouse,no frnitur;21.10.1991;27.02.1992;Feb;1992;Potrero Hill;27.11.1995;;additions alterations or repairs;constr_type_3;artist live/work;856246169255;CA;94107;2650000;2150000;129;617;1;1369;37,761535;-122,390458;1;4800000
1400 16th St,San Francisco,CA,94103;True;San Francisco;3.12.2019;Dec;2019;change of use. tenant improvement. expand previously approved lab, support spaces & accessory office on 1st fl into expansion space not covered under original permit. improvement work will be limited to interior only partitions, restrooms, mech, elect & plum. mep will be under separate permit;manufacturing;27.08.2018;23.09.2019;Sep;2019;Mission Bay;23.09.2021;201808278419;additions alterations or repairs;constr_type_3;clinics-medic/dental;1521142168094;CA;94103;2600000;-1800000;392;71;0;731;37,766263;-122,400918;1;800000
270 Brannan St,San Francisco,CA,94107;True;San Francisco;16.08.2017;Aug;2017;2nd flr: min demo. construction of new offices, meeting rooms & break areas with includes non structural walls, new finishes & mep. maher na. no final  until core & shell is complete (pa# 2013-1217-4402);vacant lot;4.05.2015;14.07.2015;Jul;2015;Financial District/South Beach;23.06.2019;201505045299;otc alterations permit;constr_type_1;office;1380354167192;CA;94107;2562089;0;71;764;2;1440;37,7824983;-122,3915513;1;2562089
843 Montgomery St,San Francisco,CA,94133;True;San Francisco;3.04.2008;Apr;2008;rev.to approved pa# 2000/04/21/7880's'. change of use from office to residental, 2 story vertical addition.;office;22.08.2005;21.12.2005;Dec;2005;Chinatown;21.09.2009;200508220865;additions alterations or repairs;constr_type_2;apartments;1026253295324;CA;94133;2500000;600000;121;834;3;1370;37,79690865;-122,403873277;1;3100000
16 Jessie St,San Francisco,CA,94105;True;San Francisco;2.05.2011;May;2011;conversion of the existing office building into a residential building include up to 51 dwelling units and no off street parking will be provided. and some retail space at the ground floor will be remanied.;office;31.08.2006;19.09.2007;Sep;2007;Financial District/South Beach;19.06.2011;200608311168;additions alterations or repairs;constr_type_3;apartments;1109076164520;CA;94105;2500000;300000;384;1321;4;1369;37,790004;-122,398592267;1;2800000
30 Jessie St,San Francisco,CA,94105;True;San Francisco;2.05.2011;May;2011;conversion of the existing office building into a residential building include up to 51 dwelling units and no off street parking will be provided. and some retail space at the ground floor will be remanied.;office;31.08.2006;19.09.2007;Sep;2007;Financial District/South Beach;19.06.2011;200608311168;additions alterations or repairs;constr_type_3;apartments;1109077455514;CA;94105;2500000;300000;384;1321;4;1369;37,789808;-122,398840533;1;2800000
4301 3rd St,San Francisco,CA,94124;True;San Francisco;14.12.2012;Dec;2012;"site permit. change of use to ""e"" occupancy for ""college track"" restore (e) brick facade and add new 2nd floor within (e) building envelope.";office;7.03.2011;8.06.2011;Jun;2011;Bayview Hunters Point;7.05.2017;201103071510;additions alterations or repairs;wood_frame_5;school;1232073178375;CA;94124;2500000;0;93;555;1;2160;37,7476768;-122,3874469;1;2500000
2 Harrison St,San Francisco,CA,94105;True;San Francisco;16.04.2014;Apr;2014;change of use. interior tenant improvement at suite, 138, 156, 146, 238 including converting a-3 to b use.;food/beverage hndlng;30.07.2012;29.08.2012;Aug;2012;Financial District/South Beach;29.07.2018;201207306043;additions alterations or repairs;constr_type_2;office;1277750249323;CA;94105;2500000;0;30;595;2;2160;37,7896119;-122,3890718;1;2500000
50 Fremont St,San Francisco,CA,94105;True;San Francisco;9.08.2017;Aug;2017;(mahner ordin. extended 155-13 not required)change of use:restaurant space into (n)child care facility on partial 1&2nd fls.restaurant space on 1st fl.office on 2/fl convert to child care. portions of (e)plaza converted to play area.;office;27.08.2015;22.08.2016;Aug;2016;Financial District/South Beach;1.08.2020;201508275469;additions alterations or repairs;constr_type_1;day care center;1393696164573;CA;94105;2500000;0;361;352;1;1440;37,79051085;-122,397242850;1;2500000
50 Fremont St,San Francisco,CA,94105;True;San Francisco;9.08.2017;Aug;2017;(mahner ordin. extended 155-13 not required)change of use:restaurant space into (n)child care facility on partial 1&2nd fls.restaurant space on 1st fl.office on 2/fl convert to child care. portions of (e)plaza converted to play area.;office;27.08.2015;22.08.2016;Aug;2016;Financial District/South Beach;1.08.2020;201508275469;additions alterations or repairs;constr_type_1;day care center;1393697164581;CA;94105;2500000;0;361;352;1;1440;37,79051085;-122,397242850;1;2500000
461 2nd St,San Francisco,CA,94107;True;San Francisco;3.08.1993;Aug;1993;shell improvements to existing bldg-stairs, elevators, walls;office;27.02.1991;30.09.1991;Sep;1991;Financial District/South Beach;30.09.1994;9103245;additions alterations or repairs;constr_type_4;artist live/work;813359166670;CA;94107;2500000;2948000;215;673;2;1096;37,78370345;-122,393940503;1;5448000
250 Brannan St,San Francisco,CA,94107;True;San Francisco;12.12.2001;Dec;2001;seismic upgrade of umb new bldg lobby new bldg restrms new elevators hvac plant;manufacturing;13.05.2000;26.08.2000;Aug;2000;Financial District/South Beach;26.02.2005;200005139925;additions alterations or repairs;constr_type_3;office;817712348066;CA;94107;2500000;5500000;105;473;1;1645;37,7832294;-122,391270612;1;8000000
1155 Market St,San Francisco,CA,94103;True;San Francisco;22.08.2017;Aug;2017;change of use. t-i includes new partitions, lighting, finishes and fixture throughout. structural work includes new interior connecting stair & floors 9-11 and flat roof skylight. new mechanical, electrical, plumbing and fire alarm will be the in area of work.;office;2.07.2015;1.12.2015;Dec;2015;South of Market;10.11.2019;201507020526;additions alterations or repairs;constr_type_1;apartments;1387138164321;CA;94103;2395639;404361;152;630;2;1440;37,7813537;-122,4113456;1;2800000
200 Kansas St,San Francisco,CA,94103;True;San Francisco;14.08.2017;Aug;2017;site permit for change of use from retail (pc sec 102/210.3) to child care facility (pc sec 102/210.3) of 11,065 sf child care facility and associated 867 sf of expanded exterior play area. no construction under this site permit. mep and const. set to be submitted as addenda. n/a for maher ordinance;retail sales;13.09.2016;18.04.2017;Apr;2017;Mission Bay;2.04.2020;201609137499;additions alterations or repairs;constr_type_3;day care home gt 12;1437949168087;CA;94103;2294148;0;217;118;0;1080;37,76694995;-122,404327984;1;2294148
2675 Geary Blvd,San Francisco,CA,94115;True;San Francisco;21.10.2019;Oct;2019;change of use to e occupancy (daycare). horizontal addition of 7500 sq ft extension of (1) egress stair to the 4th level from (e) west stair. re-striping of parking lot. addition of (6) class 1 bike lockers & (14) class 2 bicyle parking spaces.** maher: n/a **;retail sales;15.09.2017;24.09.2018;Sep;2018;Lone Mountain/USF;8.09.2021;201709158742;additions alterations or repairs;constr_type_1;day care, non-res;147981589456;CA;94115;2100000;0;374;392;1;1080;37,781721;-122,4455029;1;2100000
1725 Union St,San Francisco,CA,94123;True;San Francisco;4.05.2009;May;2009;"the scope of the project for ""crunch fitness"" at 1725 union st in s.f. includes the following:1) demo of extg interior stair, abandoned hvac units, etc. 2) construction of new interior partitions. locker and restrooms, infill of extg opening in 2nd flr level, add of new accessible wheelchair lift";retail sales;30.04.2008;10.09.2008;Sep;2008;Marina;26.08.2011;200804300938;additions alterations or repairs;constr_type_3;health studios & gym;1134179388949;CA;94123;2000000;0;133;236;1;1080;37,79784705;-122,427743602;1;2000000
25 Lusk St,San Francisco,CA,94107;True;San Francisco;14.03.2011;Mar;2011;renovation of (e) industrial bldg. consisting of a change of use from b occupancy on the basement,1st & 2nd flr to a2 restaurant use on basement, 1st flr and accessory use on 2nd flr. renovation will include removal of a portion of 1st floor includ interior stairs,restroom & changes to (e) facade.;office;18.06.2008;6.11.2009;Nov;2009;South of Market;21.10.2012;200806184781;additions alterations or repairs;constr_type_3;food/beverage hndlng;1139865167703;CA;94107;2000000;0;506;493;2;1080;37,778429;-122,3943226;1;2000000
229 Haight St,San Francisco,CA,94102;True;San Francisco;21.06.2016;Jun;2016;mep work associated with  building remodel under pa#201308305692.;office;7.03.2014;30.09.2014;Sep;2014;Hayes Valley;14.09.2017;201403070169;additions alterations or repairs;wood_frame_5;apartments;1334733490816;CA;94102;2000000;0;207;630;2;1080;37,7731877;-122,4220371;1;2000000
399 Geary St,San Francisco,CA,94102;True;San Francisco;22.04.2019;Apr;2019;"change of occupancy. shell & core remodel & (n)3/f -no final completion until all related ti permits are complete. remodel an ""e"" 2 story concrete & masonry building. addition of partially enclosed 3rd flr with an open air-roof terrace. new elevation, new exit stairs, new mep.";retail sales;23.11.2016;31.08.2017;Aug;2017;Tenderloin;10.08.2021;201611233479;additions alterations or repairs;constr_type_1;food/beverage hndlng;1450984508224;CA;94102;2000000;2091258,55;281;599;2;1440;37,787087;-122,409704;1;4091258,55
125 Bayshore Blvd,San Francisco,CA,94124;True;San Francisco;8.07.2019;Jul;2019;change extg warehouse into homeless shelter with laundry room. addition of modular trailers for toilet & bathing. new deck. minor site work for security & accessebility. minor  renovation to first floor of extg office bldg. n/a for maher;workshop commercial;15.05.2018;31.05.2018;May;2018;Bayview Hunters Point;15.05.2021;201805159091;otc alterations permit;wood_frame_5;tourist hotel/motel;1508052459734;CA;94124;2000000;0;16;403;1;1080;37,746755737;-122,403582734;1;2000000
